match_id,season,date,team1,team2,venue,winner,toss_winner,toss_decision,home_team,home_wins,toss_win_game_win,toss_winner_home
1226835,2020,2021-01-07,Brisbane Heat,Melbourne Stars,Carrara Oval,Brisbane Heat,Melbourne Stars,field,Brisbane Heat,Win,No,away
1226836,2020,2021-01-25,Adelaide Strikers,Sydney Thunder,Adelaide Oval,Sydney Thunder,Sydney Thunder,field,Adelaide Strikers,Lose,Yes,away
1226837,2020,2020-12-13,Sydney Sixers,Melbourne Renegades,"Bellerive Oval, Hobart",Sydney Sixers,Melbourne Renegades,field,NA,Neutral,No,neutral
1226838,2020,2021-01-19,Perth Scorchers,Brisbane Heat,"Docklands Stadium, Melbourne",Perth Scorchers,Brisbane Heat,field,NA,Neutral,No,neutral
1226839,2020,2021-01-15,Melbourne Stars,Adelaide Strikers,Melbourne Cricket Ground,Melbourne Stars,Adelaide Strikers,field,Melbourne Stars,Win,No,away
1226840,2020,2021-01-18,Sydney Thunder,Hobart Hurricanes,"Manuka Oval, Canberra",Hobart Hurricanes,Hobart Hurricanes,field,Sydney Thunder,Lose,Yes,away
1226841,2020,2020-12-12,Perth Scorchers,Melbourne Renegades,"Bellerive Oval, Hobart",Melbourne Renegades,Perth Scorchers,bat,NA,Neutral,No,neutral
1226842,2020,2021-01-03,Adelaide Strikers,Sydney Sixers,Carrara Oval,Sydney Sixers,Sydney Sixers,field,NA,Neutral,Yes,neutral
1226843,2020,2021-01-14,Melbourne Renegades,Brisbane Heat,"Manuka Oval, Canberra",Brisbane Heat,Brisbane Heat,field,NA,Neutral,Yes,neutral
1226844,2020,2021-01-02,Hobart Hurricanes,Melbourne Stars,"Bellerive Oval, Hobart",Hobart Hurricanes,Melbourne Stars,field,Hobart Hurricanes,Win,No,away
1226845,2020,2020-12-28,Adelaide Strikers,Perth Scorchers,Adelaide Oval,Adelaide Strikers,Perth Scorchers,field,Adelaide Strikers,Win,No,away
1226846,2020,2020-12-26,Melbourne Stars,Sydney Sixers,Carrara Oval,Sydney Sixers,Sydney Sixers,field,NA,Neutral,Yes,neutral
1226847,2020,2021-01-24,Adelaide Strikers,Sydney Thunder,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,Win,Yes,home
1226848,2020,2021-01-23,Brisbane Heat,Melbourne Renegades,"Docklands Stadium, Melbourne",Brisbane Heat,Brisbane Heat,bat,Melbourne Renegades,Lose,Yes,away
1226849,2020,2021-01-23,Perth Scorchers,Melbourne Stars,Melbourne Cricket Ground,Perth Scorchers,Melbourne Stars,field,Melbourne Stars,Lose,No,home
1226850,2020,2020-12-13,Hobart Hurricanes,Adelaide Strikers,"Bellerive Oval, Hobart",Hobart Hurricanes,Adelaide Strikers,field,Hobart Hurricanes,Win,No,away
1226851,2020,2021-01-04,Sydney Thunder,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Thunder,bat,Brisbane Heat,Win,No,away
1226852,2020,2020-12-10,Hobart Hurricanes,Sydney Sixers,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Sixers,field,Hobart Hurricanes,Win,No,away
1226853,2020,2021-01-03,Perth Scorchers,Melbourne Renegades,Perth Stadium,Perth Scorchers,Melbourne Renegades,field,Perth Scorchers,Win,No,away
1226854,2020,2020-12-29,Sydney Thunder,Melbourne Stars,"Manuka Oval, Canberra",Sydney Thunder,Melbourne Stars,field,Sydney Thunder,Win,No,away
1226855,2020,2021-01-10,Brisbane Heat,Sydney Sixers,Carrara Oval,Sydney Sixers,Sydney Sixers,field,Brisbane Heat,Lose,Yes,away
1226856,2020,2021-01-01,Melbourne Renegades,Sydney Thunder,Carrara Oval,Sydney Thunder,Sydney Thunder,field,NA,Neutral,Yes,neutral
1226857,2020,2021-01-12,Hobart Hurricanes,Perth Scorchers,Perth Stadium,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers,Win,No,away
1226858,2020,2021-01-26,Melbourne Stars,Sydney Sixers,Melbourne Cricket Ground,Sydney Sixers,Sydney Sixers,field,Melbourne Stars,Lose,Yes,away
1226859,2020,2021-01-21,Adelaide Strikers,Brisbane Heat,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,Win,Yes,home
1226860,2020,2021-01-26,Melbourne Renegades,Hobart Hurricanes,Melbourne Cricket Ground,Melbourne Renegades,Hobart Hurricanes,field,Melbourne Renegades,Win,No,away
1226861,2020,2021-01-13,Sydney Thunder,Sydney Sixers,"Manuka Oval, Canberra",Sydney Sixers,Sydney Sixers,field,Sydney Thunder,Lose,Yes,away
1226862,2020,2021-01-26,Brisbane Heat,Perth Scorchers,Adelaide Oval,Brisbane Heat,Perth Scorchers,field,NA,Neutral,No,neutral
1226863,2020,2020-12-15,Hobart Hurricanes,Adelaide Strikers,"Aurora Stadium, Launceston",Adelaide Strikers,Adelaide Strikers,field,Hobart Hurricanes,Lose,Yes,away
1226864,2020,2021-01-17,Melbourne Renegades,Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,bat,Melbourne Stars,Win,No,away
1226865,2020,2021-01-16,Perth Scorchers,Sydney Sixers,"Manuka Oval, Canberra",Sydney Sixers,Perth Scorchers,bat,Sydney Sixers,Win,No,away
1226866,2020,2020-12-14,Brisbane Heat,Sydney Thunder,"Manuka Oval, Canberra",Sydney Thunder,Brisbane Heat,bat,Sydney Thunder,Win,No,away
1226868,2020,2020-12-27,Hobart Hurricanes,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Brisbane Heat,field,Brisbane Heat,Win,Yes,home
1226869,2020,2021-01-20,Melbourne Stars,Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Stars,bat,Melbourne Renegades,Win,No,away
1226870,2020,2020-12-31,Adelaide Strikers,Perth Scorchers,Adelaide Oval,Perth Scorchers,Perth Scorchers,field,Adelaide Strikers,Lose,Yes,away
