ID,Name,searchstring,Country,Played
5966,AK Heal (Aaron Heal),AK Heal,AUS,"Twenty20 matches player (2006/07 - 2011/12, 23 matches)"
5681,GB Hogg (Brad Hogg),GB Hogg,AUS,"Test matches player (1996/97 - 2007/08, 7 matches)One-Day Internationals player (1996 - 2007/08, 123 matches)Twenty20 Internationals player (2005/06 - 2013/14, 15 matches)Combined Test, ODI and T20I player (1996 - 2013/14)Twenty20 matches player (2004 - 2017/18, 141 matches)"
6553,AB McDonald (Andrew McDonald),AB McDonald,AUS,"Test matches player (2008/09, 4 matches)Under-19s Youth One-Day Internationals player (1999/00, 7 matches)Twenty20 matches player (2005/06 - 2015/16, 93 matches)"
10772,PD Collingwood (Paul Collingwood),PD Collingwood,ENG,"Test matches player (2003/04 - 2010/11, 68 matches)One-Day Internationals player (2001 - 2010/11, 197 matches)Twenty20 Internationals player (2005 - 2017/18, 36 matches)Combined Test, ODI and T20I player (2001 - 2017/18)Twenty20 matches player (2005 - 2018, 148 matches)"
47569,AC Thomas (Alfonso Thomas),AC Thomas,SA,"Twenty20 Internationals player (2006/07, 1 match)Twenty20 matches player (2003/04 - 2015, 225 matches)"
6235,JJ Krejza (Jason Krejza),JJ Krejza,AUS,"Test matches player (2008/09, 2 matches)One-Day Internationals player (2010/11, 8 matches)Combined Test, ODI and T20I player (2008/09 - 2010/11)Twenty20 matches player (2007/08 - 2012/13, 29 matches)"
7025,AW O'Brien (Aaron O'Brien),AW O'Brien,AUS,"Under-19s Youth Test matches player (2000/01, 3 matches)Under-19s Youth One-Day Internationals player (1999/00 - 2000/01, 11 matches)Twenty20 matches player (2005/06 - 2013/14, 58 matches)"
5941,BW Hilfenhaus (Ben Hilfenhaus),BW Hilfenhaus,AUS,"Test matches player (2008/09 - 2012/13, 27 matches)One-Day Internationals player (2006/07 - 2012, 25 matches)Twenty20 Internationals player (2006/07 - 2012, 7 matches)Combined Test, ODI and T20I player (2006/07 - 2012/13)Twenty20 matches player (2005/06 - 2017, 96 matches)"
1495702,CJ Botha (Corne Botha),J Botha,SA,"Under-19s Youth One-Day Internationals player (2025 - 2025/26, 6 matches)"
44149,J Botha (Johan Botha),J Botha,SA,"Test matches player (2005/06 - 2010/11, 5 matches)One-Day Internationals player (2005/06 - 2011/12, 78 matches)Twenty20 Internationals player (2005/06 - 2012/13, 40 matches)Combined Test, ODI and T20I player (2005/06 - 2012/13)Under-19s Youth Test matches player (2000/01, 2 matches)Under-19s Youth One-Day Internationals player (1999/00 - 2000/01, 9 matches)Twenty20 matches player (2003/04 - 2020/21, 222 matches)"
1344016,J Botha (Jemma Botha),J Botha,SA,"Women's Twenty20 player (2023/24, 6 matches)"
1484009,J Botha (Jenna-May Botha),J Botha,ENG,"Women's Twenty20 player (2025, 2 matches)"
272262,KW Richardson (Kane Richardson),KW Richardson,AUS,"One-Day Internationals player (2012/13 - 2019/20, 25 matches)Twenty20 Internationals player (2014/15 - 2023/24, 36 matches)Combined Test, ODI and T20I player (2012/13 - 2023/24)Under-19s Youth Test matches player (2009, 2 matches)Under-19s Youth One-Day Internationals player (2007/08 - 2009/10, 10 matches)Twenty20 matches player (2008/09 - 2025/26, 201 matches)"
6419,RJG Lockyear (Rhett Lockyear),RJG Lockyear,AUS,"Twenty20 matches player (2005/06 - 2012/13, 30 matches)"
5017,XJ Doherty (Xavier Doherty),XJ Doherty,AUS,"Test matches player (2010/11 - 2012/13, 4 matches)One-Day Internationals player (2010/11 - 2014/15, 60 matches)Twenty20 Internationals player (2011/12 - 2013/14, 11 matches)Combined Test, ODI and T20I player (2010/11 - 2014/15)Under-19s Youth One-Day Internationals player (2001/02, 7 matches)Twenty20 matches player (2005/06 - 2016/17, 74 matches)Twenty20 matches official (2025/26)Women's Twenty20 official (2025/26)"
272279,NM Lyon (Nathan Lyon),NM Lyon,AUS,"Test matches player (2011 - 2025/26, 141 matches)One-Day Internationals player (2011/12 - 2019, 29 matches)Twenty20 Internationals player (2015/16 - 2018/19, 2 matches)Combined Test, ODI and T20I player (2011 - 2025/26)Twenty20 matches player (2010/11 - 2022/23, 51 matches)"
315623,B Laughlin (Ben Laughlin),B Laughlin,AUS,"One-Day Internationals player (2008/09 - 2009, 5 matches)Twenty20 Internationals player (2008/09 - 2012/13, 3 matches)Combined Test, ODI and T20I player (2008/09 - 2012/13)Twenty20 matches player (2008/09 - 2020/21, 164 matches)"
42272,Naved-ul-Hasan,Naved-ul-Hasan,PAK,"Test matches player (2004/05 - 2006/07, 9 matches)One-Day Internationals player (2002/03 - 2009/10, 74 matches)Twenty20 Internationals player (2006 - 2009/10, 4 matches)Combined Test, ODI and T20I player (2002/03 - 2009/10)Under-19s Youth Test matches player (1994/95 - 1995/96, 5 matches)Under-19s Youth One-Day Internationals player (1994/95 - 1995/96, 6 matches)Twenty20 matches player (2004/05 - 2013/14, 126 matches)"
5779,RJ Harris (Ryan Harris),RJ Harris,AUS,"Test matches player (2009/10 - 2014/15, 27 matches)One-Day Internationals player (2008/09 - 2011/12, 21 matches)Twenty20 Internationals player (2009/10 - 2010, 3 matches)Combined Test, ODI and T20I player (2008/09 - 2014/15)Twenty20 matches player (2006/07 - 2013/14, 64 matches)"
376169,MG Neser (Michael Neser),MG Neser,AUS,"Test matches player (2021/22 - 2025/26, 5 matches)One-Day Internationals player (2018 - 2023/24, 4 matches)Combined Test, ODI and T20I player (2018 - 2025/26)Twenty20 matches player (2010/11 - 2025/26, 129 matches)"
8002,DJ Thornely (Dominic Thornely),DJ Thornely,AUS,"Under-19s Youth Test matches player (1996/97 - 1997/98, 3 matches)Under-19s Youth One-Day Internationals player (1996/97 - 1997/98, 12 matches)Twenty20 matches player (2004/05 - 2012/13, 57 matches)"
5961,MC Henriques (Moises Henriques),MC Henriques,AUS,"Test matches player (2012/13 - 2016, 4 matches)One-Day Internationals player (2009/10 - 2021, 16 matches)Twenty20 Internationals player (2008/09 - 2021, 24 matches)Combined Test, ODI and T20I player (2008/09 - 2021)Under-19s Youth One-Day Internationals player (2003/04 - 2005/06, 17 matches)Twenty20 matches player (2005/06 - 2025/26, 301 matches)"
6943,MJ North (Marcus North),MJ North,AUS,"Test matches player (2008/09 - 2010/11, 21 matches)One-Day Internationals player (2009, 2 matches)Twenty20 Internationals player (2009, 1 match)Combined Test, ODI and T20I player (2008/09 - 2010/11)Under-19s Youth Test matches player (1996/97 - 1997/98, 6 matches)Under-19s Youth One-Day Internationals player (1996/97 - 1997/98, 11 matches)Twenty20 matches player (2004 - 2014, 94 matches)"
5605,SM Harwood (Shane Harwood),SM Harwood,AUS,"One-Day Internationals player (2008/09, 1 match)Twenty20 Internationals player (2006/07 - 2008/09, 3 matches)Combined Test, ODI and T20I player (2006/07 - 2008/09)Twenty20 matches player (2005/06 - 2011/12, 40 matches)"
6844,BE McGain (Bryce McGain),BE McGain,AUS,"Test matches player (2008/09, 1 match)Twenty20 matches player (2007/08 - 2011/12, 13 matches)"
4427,CJ Borgas (Cameron Borgas),CJ Borgas,AUS,"Under-19s Youth Test matches player (2000/01, 2 matches)Twenty20 matches player (2005/06 - 2013/14, 58 matches)"
7743,CP Simpson (Chris Simpson),CP Simpson,AUS,"Twenty20 matches player (2005/06 - 2011/12, 27 matches)"
6105,MJ Johnston (Matt Johnston),MJ Johnston,AUS,"Twenty20 matches player (2006/07 - 2012/13, 11 matches)"
47850,RE van der Merwe (Roelof van der Merwe),RE van der Merwe,NED/SA,"One-Day Internationals player (2008/09 - 2025, 39 matches)Twenty20 Internationals player (2008/09 - 2025/26, 71 matches)Combined Test, ODI and T20I player (2008/09 - 2025/26)Under-19s Youth One-Day Internationals player (2003/04, 5 matches)Twenty20 matches player (2007/08 - 2025/26, 373 matches)"
261354,NM Coulter-Nile (Nathan Coulter-Nile),NM Coulter-Nile,AUS,"One-Day Internationals player (2013 - 2019, 32 matches)Twenty20 Internationals player (2012/13 - 2018/19, 28 matches)Combined Test, ODI and T20I player (2012/13 - 2019)Under-19s Youth One-Day Internationals player (2007, 3 matches)Twenty20 matches player (2009/10 - 2023/24, 160 matches)"
4487,LR Butterworth (Luke Butterworth),LR Butterworth,AUS,"Under-19s Youth Test matches player (2002/03, 1 match)Under-19s Youth One-Day Internationals player (2002/03, 4 matches)Twenty20 matches player (2006/07 - 2011/12, 9 matches)"
215152,JM Bird (Jackson Bird),JM Bird,AUS,"Test matches player (2012/13 - 2017/18, 9 matches)Under-19s Youth One-Day Internationals player (2005/06, 7 matches)Twenty20 matches player (2011/12 - 2025, 96 matches)"
4927,BG Drew (Brendan Drew),BG Drew,AUS,"Twenty20 matches player (2006/07 - 2011/12, 19 matches)"
272467,DR Salpietro (Daniel Salpietro),DR Salpietro,AUS,"Twenty20 matches player (2010/11 - 2011/12, 4 matches)"
5583,DJ Harris (Daniel Harris),DJ Harris,AUS,"Under-19s Youth Test matches player (1999, 3 matches)Under-19s Youth One-Day Internationals player (1999, 3 matches)Twenty20 matches player (2006/07 - 2014/15, 78 matches)"
5749,DJ Harris (Doug Harris),DJ Harris,AUS,"Under-19s Youth Test matches player (1980/81, 3 matches)"
533043,JM Muirhead (James Muirhead),JM Muirhead,AUS,"Twenty20 Internationals player (2013/14, 5 matches)Under-19s Youth One-Day Internationals player (2011/12, 6 matches)Twenty20 matches player (2011/12 - 2017/18, 15 matches)"
275658,MG Hogan (Michael Hogan),MG Hogan,AUS,"Twenty20 matches player (2009/10 - 2023, 129 matches)"
7069,SNJ O'Keefe (Steve O'Keefe),SNJ O'Keefe,AUS,"Test matches player (2014/15 - 2017, 9 matches)Twenty20 Internationals player (2010 - 2011/12, 7 matches)Combined Test, ODI and T20I player (2010 - 2017)Under-19s Youth One-Day Internationals player (2003/04, 8 matches)Twenty20 matches player (2008/09 - 2023/24, 129 matches)"
37749,NL McCullum (Nathan McCullum),NL McCullum,NZ,"One-Day Internationals player (2009 - 2015, 84 matches)Twenty20 Internationals player (2007/08 - 2015/16, 63 matches)Combined Test, ODI and T20I player (2007/08 - 2015/16)Under-19s Youth One-Day Internationals player (1999/00, 5 matches)Twenty20 matches player (2005/06 - 2015/16, 173 matches)"
