match_id,date,team1,team2,winner,result,winner_by_runs,winner_by_wickets,venue,toss_winner,toss_decision,home_team
897705,2015-12-21,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,,,4,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
897707,2015-12-22,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,,20,,"Bellerive Oval, Hobart",Hobart Hurricanes,bat,Hobart Hurricanes
897709,2015-12-23,Melbourne Renegades,Sydney Sixers,Sydney Sixers,,,3,"Docklands Stadium, Melbourne",Sydney Sixers,field,Melbourne Renegades
897711,2015-12-26,Perth Scorchers,Brisbane Heat,Perth Scorchers,,,9,Western Australia Cricket Association Ground,Brisbane Heat,bat,Perth Scorchers
897713,2015-12-27,Sydney Sixers,Melbourne Stars,Melbourne Stars,,,5,"Sydney Cricket Ground, Sydney",Sydney Sixers,bat,Sydney Sixers
897715,2015-12-28,Sydney Thunder,Adelaide Strikers,Sydney Thunder,,,7,Sydney Showground Stadium,Adelaide Strikers,bat,Sydney Thunder
897717,2015-12-29,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,,15,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Hobart Hurricanes,bat,Brisbane Heat
897719,2015-12-30,Melbourne Renegades,Perth Scorchers,Perth Scorchers,,,10,"Docklands Stadium, Melbourne",Perth Scorchers,field,Melbourne Renegades
897721,2015-12-31,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,,,5,Adelaide Oval,Adelaide Strikers,field,Adelaide Strikers
897723,2016-01-01,Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,,11,,"Bellerive Oval, Hobart",Sydney Thunder,field,Hobart Hurricanes
897727,2016-01-02,Perth Scorchers,Sydney Sixers,Perth Scorchers,,,9,Western Australia Cricket Association Ground,Sydney Sixers,bat,Perth Scorchers
897725,2016-01-02,Melbourne Stars,Melbourne Renegades,Melbourne Stars,,,7,Melbourne Cricket Ground,Melbourne Stars,field,Melbourne Stars
897729,2016-01-03,Brisbane Heat,Sydney Thunder,Brisbane Heat,,,6,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,field,Brisbane Heat
897731,2016-01-04,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,,,5,"Bellerive Oval, Hobart",Melbourne Renegades,field,Hobart Hurricanes
897733,2016-01-05,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,,36,,Adelaide Oval,Adelaide Strikers,bat,Adelaide Strikers
897735,2016-01-06,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,,,8,Melbourne Cricket Ground,Melbourne Stars,field,Melbourne Stars
897737,2016-01-07,Sydney Thunder,Perth Scorchers,Perth Scorchers,,30,,Sydney Showground Stadium,Sydney Thunder,field,Sydney Thunder
897739,2016-01-08,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,,,8,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Adelaide Strikers,field,Brisbane Heat
897741,2016-01-09,Melbourne Renegades,Melbourne Stars,Melbourne Stars,,,8,"Docklands Stadium, Melbourne",Melbourne Stars,field,Melbourne Renegades
897743,2016-01-10,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,,1,,"Bellerive Oval, Hobart",Perth Scorchers,bat,Hobart Hurricanes
897745,2016-01-10,Sydney Sixers,Brisbane Heat,Brisbane Heat,,6,,"Sydney Cricket Ground, Sydney",Brisbane Heat,bat,Sydney Sixers
897747,2016-01-11,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,,,5,Sydney Showground Stadium,Sydney Thunder,bat,Sydney Thunder
897749,2016-01-13,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,,,6,Adelaide Oval,Hobart Hurricanes,bat,Adelaide Strikers
897751,2016-01-14,Melbourne Stars,Brisbane Heat,Brisbane Heat,,56,,Melbourne Cricket Ground,Melbourne Stars,field,Melbourne Stars
897753,2016-01-16,Sydney Sixers,Sydney Thunder,Sydney Thunder,,46,,"Sydney Cricket Ground, Sydney",Sydney Sixers,field,Sydney Sixers
